POS Position,Name,Team,Position,P Played,S Saves,S 7M saves,% 7M save accuracy,S Full back - Saves,% Full back - Save accuracy,P Centre back - Saves,% Centre back - Save accuracy,S Wing - Saves,% Wing - Save accuracy,S Pivot - Saves,% Pivot - Save accuracy,S Fast breaks - Saves,% Fast breaks - Save accuracy,G Goals
1,Landin Niklas,THW,GK,34,342,15,27.27%,77,32.63,98,51.85,94,42.53,30,22.06,28,32.94,1
2,Semisch Malte,GWD,GK,34,338,17,16.83%,75,19.69,100,43.48,75,30.36,38,19.79,29,18.59,-
3,Simic Nebojsa,MTM,GK,34,290,25,30.12%,92,35.38,100,49.75,29,32.58,29,22.48,15,21.13,2
4,Saeveraas Kristian,LEI,GK,34,283,20,22.73%,73,25.70,104,42.98,35,27.78,40,25.97,11,15.28,-
5,Milosavljev Dejan,BER,GK,29,269,8,13.11%,64,23.62,96,43.24,50,29.94,31,19.14,18,23.68,1
6,Heinevetter Silvio,TVB,GK,33,258,17,28.81%,73,27.86,91,43.75,35,26.92,27,17.65,15,19.48,1
7,Ivanisevic Tibor,GUM,GK,34,257,16,20.51%,60,24.19,83,39.34,46,35.66,36,22.09,14,20.59,3
8,Klimpke Till,WET,GK,33,254,13,18.06%,74,27.11,79,46.20,40,26.49,34,28.33,14,16.47,1
9,Ebner Domenico,HAN,GK,34,242,11,15.49%,97,33.11,57,53.27,43,30.71,24,25.53,10,14.49,2
10,Buric Benjamin,SGF,GK,34,237,13,22.03%,77,31.95,101,47.64,25,29.07,15,21.13,6,13.64,2
11,Ferlin Klemen,HCE,GK,34,230,14,22.95%,72,26.28,73,39.89,26,23.64,28,19.86,17,20.24,2
12,Portner Nikola,SCM,GK,34,226,8,14.04%,46,24.86,99,43.42,45,28.85,21,18.92,7,11.67,5
13,Bitter Johannes,HSV,GK,26,218,12,16.44%,75,27.78,69,43.67,36,31.58,18,14.52,8,13.56,1
14,Møller Kevin,SGF,GK,31,216,11,24.44%,64,34.78,91,46.19,21,27.27,17,22.08,12,17.91,2
15,Rudeck Christopher,BHC,GK,33,214,15,18.75%,59,25.00,75,47.77,29,35.37,25,23.15,10,20.83,3
16,Appelgren Mikael,RNL,GK,29,212,6,18.18%,78,35.78,68,46.26,29,33.72,19,22.89,12,22.22,2
17,Rebmann Daniel,FAG,GK,34,206,16,25.81%,59,24.18,70,45.16,19,22.09,26,21.67,16,17.39,-
18,Hertlein Felix,ASV,GK,33,191,12,17.39%,60,24.19,60,36.81,33,28.95,22,17.60,3,4.11,-
19,Birlehm Joel,RNL,GK,27,181,9,23.08%,54,28.13,69,43.95,15,18.29,19,29.69,8,22.22,-
