P,Team,G,W,D,L,Pts,Diff,+,-
1,THW,34/34,29,1,4,59:09:00,181,1098,917
2,SCM,34/34,27,3,4,57:11:00,142,1124,982
3,BER,34/34,25,1,8,51:17:00,113,1103,990
4,SGF,34/34,23,3,8,49:19:00,133,1062,929
5,RNL,34/34,22,1,11,45:23:00,108,1133,1025
6,HAN,34/34,18,2,14,38:30:00,16,994,978
7,HSV,34/34,17,2,15,36:32:00,18,1028,1010
8,TBV,34/34,16,3,15,35:33:00,3,1013,1010
9,MTM,34/34,14,6,14,34:34:00,-13,910,923
10,GUM,34/34,15,3,16,33:35:00,-2,1036,1038
11,LEI,34/34,14,3,17,31:37:00,-14,999,1013
12,BHC,34/34,14,2,18,30:38:00,-42,955,997
13,HCE,34/34,14,2,18,30:38:00,-52,1009,1061
14,FAG,34/34,9,5,20,23:45,-34,955,989
15,TVB,34/34,10,3,21,23:45,-91,912,1003
16,WET,34/34,8,1,25,17:51,-105,886,991
17,GWD,34/34,5,3,26,13:55,-161,932,1093
18,ASV,34/34,3,2,29,05:00,-200,891,1091
