P,Team,G,W,D,L,Pts,Diff,+,-
1,SCM,34/34,30,2,2,62:06:00,208,1135,927
2,BER,34/34,26,4,4,56:12:00,111,1107,996
3,SGF,34/34,23,4,7,50:18:00,126,1107,981
4,THW,34/34,22,3,9,47:21:00,102,1089,987
5,MTM,34/34,20,4,10,44:24:00,38,973,935
6,GUM,34/34,20,3,11,43:25:00,40,1060,1020
7,HAN,34/34,17,5,12,39:29:00,6,1000,994
8,LEI,34/34,15,3,16,33:35:00,17,995,978
9,HSV,34/34,13,4,17,30:38:00,-64,1013,1077
10,TBV,34/34,12,4,18,28:40:00,0,978,978
11,TVB,34/34,12,2,20,26:42:00,-52,996,1048
12,RNL,34/34,12,2,20,26:42:00,-61,961,1022
13,WET,34/34,12,2,20,26:42:00,-75,924,999
14,EIS,34/34,11,2,21,24:44:00,-61,951,1012
15,FAG,34/34,10,3,21,23:45,-54,965,1019
16,HCE,34/34,10,2,22,22:46,-71,901,972
17,BHC,34/34,9,2,23,20:48,-82,965,1047
18,HBW,34/34,5,3,26,13:55,-128,903,1031
