POS Position,Name,Team,Position,P Played,G 7M goals,% 7M Shooting accuracy,G Full back - Goals,% Full back - Shooting accuracy,T Centre back - Goals,% Centre back - Shooting accuracy,G Wing - Goals,% Wing - Shooting accuracy,G Pivot - Goals,% Pivot - Shooting accuracy,G Fast breaks - Goals,% Fast breaks - Shooting accuracy
1,Steinert Christoph,HCE,RB,31,85,78.70%,46,76.67%,23,41.07%,4,100.00%,3,60.00%,4,80.00%
2,Knorr Juri,RNL,CB,34,83,82.18%,91,68.94%,25,35.21%,-,-,4,80.00%,9,90.00%
3,Lindberg Hans,BER,RW,28,82,79.61%,12,85.71%,3,100.00%,35,70.00%,12,92.31%,11,73.33%
4,Schiller Marcel,FAG,LW,27,80,81.63%,5,71.43%,-,-,37,51.39%,5,100.00%,19,79.17%
5,Smits Kay,SCM,RB,34,74,84.09%,91,78.45%,16,33.33%,1,50.00%,-,-,6,75.00%
6,Ekberg Niclas,THW,RW,32,73,76.84%,8,80.00%,-,-,37,71.15%,9,69.23%,10,90.91%
7,Mortensen Casper,HSV,LW,32,72,72.00%,15,75.00%,2,22.22%,83,61.03%,6,85.71%,51,91.07%
8,Huesmann Fabian,ASV,LW,32,68,72.34%,4,80.00%,-,-,40,57.97%,2,33.33%,22,78.57%
9,Zehnder Samuel,TBV,LW,27,67,78.82%,4,80.00%,-,-,61,72.62%,7,63.64%,16,88.89%
10,Gerbl Maximilian,HAN,RW,34,61,74.39%,6,85.71%,1,33.33%,30,71.43%,-,-,16,88.89%
11,Kristjansson Viggo,LEI,RB,23,57,82.61%,36,59.02%,31,55.36%,1,50.00%,1,100.00%,9,75.00%
12,Jakobsen Emil,SGF,LW,34,53,76.81%,9,81.82%,1,33.33%,66,68.75%,7,100.00%,32,86.49%
13,Magnusson Omar Ingi,SCM,RB,15,50,74.63%,34,87.18%,14,48.28%,-,-,-,-,2,100.00%
14,Arnesson Linus,BHC,CB,30,48,81.36%,36,59.02%,38,58.46%,-,-,4,80.00%,3,75.00%
15,Gensheimer Uwe,RNL,LW,23,47,77.05%,7,58.33%,1,33.33%,29,55.77%,4,50.00%,17,65.38%
16,Mappes Dominik,GUM,CB,24,46,79.31%,64,66.67%,24,45.28%,-,-,5,71.43%,1,50.00%
17,Novak Domen,WET,RW,31,41,71.93%,5,83.33%,-,-,33,55.93%,6,100.00%,8,100.00%
18,Fernandez Daniel,TVB,LW,32,35,72.92%,4,80.00%,-,-,27,71.05%,3,75.00%,27,77.14%
19,Steinhauser Marius,HAN,RW,29,34,70.83%,7,53.85%,-,-,30,62.50%,5,100.00%,37,92.50%
20,Kastening Timo,MTM,RW,16,32,78.05%,1,33.33%,-,-,18,52.94%,6,85.71%,10,90.91%
21,Korte Mats,GWD,LW,34,31,73.81%,7,77.78%,-,-,34,66.67%,5,50.00%,26,81.25%
22,Martinovic Ivan,MTM,RB,15,28,80.00%,17,68.00%,8,27.59%,-,-,-,-,3,60.00%
23,Weber Robert,BER,RW,15,24,82.76%,4,66.67%,-,-,23,74.19%,1,50.00%,4,50.00%
24,Weissgerber Lars,WET,RW,34,22,68.75%,1,100.00%,-,-,32,66.67%,3,60.00%,6,85.71%
25,Malasinskas Aidenas,MTM,CB,34,22,75.86%,11,39.29%,1,8.33%,3,75.00%,4,100.00%,3,100.00%
26,Pfattheicher Sascha,TVB,RW,33,21,67.74%,7,58.33%,2,66.67%,65,65.66%,5,83.33%,35,85.37%
27,Becher Lukas,WET,LW,32,20,80.00%,1,100.00%,-,-,16,53.33%,-,-,6,85.71%
28,Beyer Noah,BHC,LW,30,19,76.00%,5,62.50%,1,50.00%,60,68.18%,5,100.00%,17,68.00%
29,Andersen Frederik Bo,HSV,RW,33,17,89.47%,11,73.33%,-,-,79,72.48%,-,-,29,90.63%
30,Savvas Savvas,ASV,LB,34,15,71.43%,34,57.63%,61,47.66%,-,-,-,-,2,66.67%
31,Zerbe Lukas,TBV,RW,33,15,71.43%,4,50.00%,-,-,69,69.00%,7,87.50%,20,90.91%
32,Gulliksen Kevin,FAG,RW,23,15,78.95%,6,85.71%,-,-,29,60.42%,2,66.67%,19,59.38%
33,Landin Magnus,THW,LW,29,15,71.43%,5,62.50%,-,-,42,66.67%,1,100.00%,4,100.00%
34,Zieker Patrick,TVB,LW,33,14,66.67%,7,77.78%,-,-,35,62.50%,5,62.50%,12,85.71%
35,Ivic Sime,LEI,RB,33,14,70.00%,42,53.85%,37,46.84%,1,100.00%,4,66.67%,8,88.89%
36,Hansen Johan,SGF,RW,32,14,70.00%,2,25.00%,1,33.33%,73,61.34%,4,100.00%,13,65.00%
37,Darmoul Mohamed Amine,GWD,CB,26,14,77.78%,92,74.19%,16,51.61%,-,-,-,-,13,76.47%
38,Blohme Lukas,GUM,RW,34,13,61.90%,18,85.71%,3,60.00%,102,66.67%,3,100.00%,52,83.87%
39,Styrmisson Hakon Dadi,GUM,LW,31,12,60.00%,1,33.33%,-,-,31,58.49%,1,33.33%,13,81.25%
40,Krzikalla Lucas,LEI,RW,33,11,73.33%,2,100.00%,-,-,19,65.52%,-,-,7,77.78%
41,Vujovic Milos,BER,LW,34,11,84.62%,13,92.86%,1,100.00%,29,70.73%,5,83.33%,18,75.00%
42,Kranzmann Florian,GWD,LW,27,11,73.33%,-,-,-,-,11,61.11%,5,100.00%,16,76.19%
43,Hanusz Egon,TVB,CB,34,10,83.33%,68,71.58%,13,68.42%,-,-,2,66.67%,5,50.00%
44,Moller Lasse,SGF,LB,33,10,62.50%,34,79.07%,36,53.73%,-,-,1,100.00%,2,66.67%
45,Goller Axel,FAG,RW,34,10,83.33%,-,-,-,-,20,51.28%,2,66.67%,14,70.00%
46,Olsson Hampus,HCE,RW,28,9,64.29%,3,42.86%,2,100.00%,51,79.69%,6,66.67%,19,79.17%
47,Vujovic Branko,HAN,RB,31,8,66.67%,52,64.20%,29,41.43%,1,50.00%,-,-,14,82.35%
48,Orlowski Marian,ASV,LB,30,7,100.00%,37,63.79%,38,49.35%,-,-,-,-,1,33.33%
49,Hornke Tim,SCM,RW,32,6,75.00%,8,100.00%,-,-,68,72.34%,-,-,18,81.82%
50,Jeppsson Simon,HCE,LB,33,6,85.71%,36,73.47%,73,50.00%,-,-,1,33.33%,2,100.00%
51,Persson Isak,BHC,RW,32,6,75.00%,3,75.00%,-,-,33,64.71%,-,-,17,89.47%
52,Urban Tomas,GWD,RW,33,5,50.00%,6,27.27%,10,45.45%,34,54.84%,3,42.86%,32,80.00%
53,Serrano Villalobos Jorge,TVB,RW,31,4,44.44%,7,77.78%,-,-,12,60.00%,1,50.00%,8,88.89%
54,Casado Marcelo Agustin,MTM,LB,33,4,80.00%,54,59.34%,37,44.58%,1,100.00%,5,100.00%,11,84.62%
55,Gunnarsson Arnor Thor,BHC,RW,33,3,75.00%,6,75.00%,-,-,24,63.16%,5,100.00%,6,85.71%
56,Suton Tim,TBV,CB,33,3,60.00%,66,71.74%,24,48.98%,2,100.00%,8,88.89%,6,85.71%
57,Schagen Bobby,TBV,RW,32,2,66.67%,13,72.22%,1,20.00%,23,79.31%,3,100.00%,3,100.00%
58,Weber Philipp,SCM,CB,32,2,100.00%,36,78.26%,27,50.00%,-,-,-,-,-,-
59,Lagergren Albin,RNL,RB,33,2,100.00%,65,61.90%,7,36.84%,1,100.00%,1,100.00%,18,81.82%
60,Wieling Tim,ASV,RW,31,2,50.00%,1,100.00%,-,-,45,63.38%,4,100.00%,11,68.75%
61,Sagosen Sander,THW,CB,21,2,50.00%,41,80.39%,33,55.00%,-,-,-,-,12,85.71%
62,Gottfridsson Jim,SGF,CB,18,1,100.00%,26,81.25%,17,80.95%,-,-,-,-,2,100.00%
63,Fraatz Yannick,BHC,RW,35,1,100.00%,2,40.00%,-,-,22,68.75%,4,100.00%,13,72.22%
64,Simak Frederik,TBV,LB,27,1,100.00%,14,77.78%,-,-,-,-,9,69.23%,7,87.50%
65,Rudiger Tim,WET,RW,3,1,100.00%,-,-,-,-,-,-,-,-,-,-
66,Saugstrup Magnus,SCM,P,20,1,100.00%,1,33.33%,1,100.00%,-,-,64,73.56%,16,88.89%
67,Kuzmanovski Filip,HAN,LB,24,1,33.33%,17,58.62%,5,71.43%,1,100.00%,-,-,1,100.00%
68,Mavers Veit,HAN,CB,31,1,25.00%,47,73.44%,4,36.36%,-,-,2,100.00%,-,-
69,Wagner Hendrik,WET,LB,32,1,50.00%,25,54.35%,23,47.92%,-,-,1,100.00%,5,83.33%
70,Versteijnen Niels Gerardus,TBV,RB,34,1,50.00%,91,72.22%,33,36.26%,1,100.00%,3,100.00%,10,100.00%
71,Neudeck Oskar,FAG,LB,12,1,100.00%,1,50.00%,1,100.00%,3,75.00%,-,-,1,100.00%
72,Schroven Finn,GUM,RW,30,1,100.00%,17,51.52%,3,50.00%,-,-,3,100.00%,-,-
73,Exner Aaron,BHC,CB,1,1,100.00%,-,-,-,-,-,-,-,-,-,-
74,Heinevetter Silvio,TVB,GK,33,-,-,-,-,-,-,-,-,-,-,-,-
76,Sellin Johannes,HCE,RW,33,-,-,5,71.43%,-,-,17,47.22%,4,100.00%,27,84.38%
77,Vortmann Jens,HSV,GK,15,-,-,-,-,-,-,-,-,-,-,2,100.00%
78,Gutbrod Fabian,BHC,LB,24,-,-,13,81.25%,14,43.75%,-,-,-,-,1,50.00%
79,Kneule Tim,FAG,CB,34,-,-,50,56.18%,21,50.00%,-,-,-,-,6,75.00%
80,Hafner Kai,MTM,RB,31,-,-,69,72.63%,45,50.56%,1,50.00%,1,50.00%,2,50.00%
83,Mrkva Tomas,THW,GK,34,-,-,-,-,-,-,-,-,-,-,-,-
85,Fath Steffen,HCE,LB,16,-,-,5,50.00%,6,50.00%,-,-,1,100.00%,2,100.00%
86,Bitter Johannes,HSV,GK,26,-,-,-,-,-,-,-,-,-,-,-,-
87,Duvnjak Domagoj,THW,CB,34,-,-,30,88.24%,22,59.46%,-,-,2,100.00%,12,100.00%
92,Groetzki Patrick,RNL,RW,33,-,-,4,57.14%,-,-,87,71.90%,14,100.00%,32,86.49%
94,Quenstedt Dario,HAN,GK,32,-,-,-,-,-,-,-,-,-,-,-,-
99,Link Nikolai,HCE,LB,33,-,-,2,50.00%,-,-,-,-,-,-,4,100.00%
104,Pevnov Evgeni,HAN,P,27,-,-,2,33.33%,3,100.00%,-,-,43,76.79%,1,100.00%
105,Semisch Malte,GWD,GK,34,-,-,-,-,-,-,-,-,-,-,-,-
107,Szucs Csaba,BHC,LB,13,-,-,-,-,-,-,-,-,-,-,-,-
108,Weinhold Steffen,THW,RB,15,-,-,24,85.71%,18,52.94%,-,-,-,-,2,66.67%
109,Wiencek Patrick,THW,P,34,-,-,1,50.00%,-,-,-,-,80,70.80%,9,81.82%
112,Meschke Benjamin,ASV,P,23,-,-,-,-,-,-,-,-,21,77.78%,-,-
114,Bozic Vladimir,ASV,GK,34,-,-,-,-,-,-,-,-,-,-,-,-
115,Voigt Malte,THW,LW,3,-,-,-,-,-,-,1,33.33%,-,-,-,-
118,Patrail Mait,ASV,LB,33,-,-,2,28.57%,-,-,-,-,20,80.00%,2,100.00%
119,Musche Matthias,SCM,LW,30,-,-,4,66.67%,-,-,28,62.22%,2,100.00%,16,88.89%
