POS Position,Name,Team,Position,P Played,G 7M goals,% 7M Shooting accuracy,G Full back - Goals,% Full back - Shooting accuracy,T Centre back - Goals,% Centre back - Shooting accuracy,G Wing - Goals,% Wing - Shooting accuracy,G Pivot - Goals,% Pivot - Shooting accuracy,G Fast breaks - Goals,% Fast breaks - Shooting accuracy
1,Lindberg Hans,BER,RW,34,124,91.18%,13,86.67%,1,100.00%,60,73.17%,17,85.00%,25,78.13%
2,Magnusson Omar Ingi,SCM,RB,33,113,75.84%,69,75.82%,40,51.28%,-,-,3,100.00%,12,92.31%
3,Ekberg Niclas,THW,RW,34,99,83.19%,10,52.63%,-,-,41,65.08%,8,88.89%,28,90.32%
4,Mortensen Casper,HSV,LW,34,93,78.81%,8,42.11%,9,56.25%,51,62.96%,9,100.00%,33,84.62%
5,Schiller Marcel,FAG,LW,32,91,77.12%,7,70.00%,-,-,65,63.73%,8,88.89%,15,78.95%
6,Holst Maximilian,WET,LW,34,88,86.27%,3,75.00%,-,-,4,50.00%,1,50.00%,1,100.00%
7,Elisson Bjarki Mar,TBV,LW,34,79,73.15%,14,77.78%,1,33.33%,73,63.48%,12,100.00%,51,86.44%
8,Wanne Hampus,SGF,LW,27,73,82.95%,6,66.67%,1,100.00%,39,65.00%,5,62.50%,34,91.89%
9,Steinert Christoph,HCE,RB,27,70,83.33%,35,76.09%,27,39.71%,-,-,1,50.00%,3,100.00%
10,Lipovina Vladan,HBW,RB,34,62,81.58%,44,73.33%,68,42.24%,1,100.00%,-,-,1,50.00%
11,Urban Tomas,GWD,RW,34,57,70.37%,26,74.29%,2,40.00%,41,54.67%,1,25.00%,33,80.49%
12,Reichmann Tobias,MTM,RW,24,56,90.32%,2,66.67%,-,-,17,51.52%,2,66.67%,6,85.71%
13,Hansen Johan,HAN,RW,33,55,67.90%,11,61.11%,-,-,74,60.16%,3,60.00%,18,85.71%
14,Schmid Andy,RNL,CB,34,52,77.61%,46,58.23%,47,48.96%,1,50.00%,3,100.00%,9,81.82%
15,Skroblien Tom,NLB,LW,33,51,68.92%,10,52.63%,1,20.00%,62,68.13%,12,60.00%,35,85.37%
16,Arnesson Linus,BHC,CB,29,51,85.00%,33,51.56%,28,42.42%,-,-,5,55.56%,3,75.00%
17,Zieker Patrick,TVB,LW,33,45,81.82%,13,65.00%,6,85.71%,34,66.67%,6,66.67%,19,76.00%
18,Kristjansson Viggo,TVB,RB,24,44,73.33%,36,69.23%,30,57.69%,-,-,4,100.00%,8,88.89%
19,Krzikalla Lucas,LEI,RW,34,39,66.10%,4,44.44%,1,100.00%,32,78.05%,2,100.00%,17,89.47%
20,Jakobsen Emil,SGF,LW,31,30,76.92%,2,66.67%,1,50.00%,44,70.97%,2,100.00%,7,87.50%
21,Ivic Sime,LEI,RB,34,28,75.68%,44,72.13%,35,41.18%,-,-,8,88.89%,12,85.71%
22,Gensheimer Uwe,RNL,LW,12,24,85.71%,2,100.00%,1,100.00%,24,63.16%,4,80.00%,7,87.50%
23,Kastening Timo,MTM,RW,24,23,62.16%,3,60.00%,1,100.00%,42,62.69%,2,66.67%,12,75.00%
24,Jeppsson Simon,HCE,LB,33,22,68.75%,27,69.23%,117,59.69%,1,100.00%,1,33.33%,8,88.89%
25,Weller Niklas,HSV,P,32,20,64.52%,2,28.57%,1,100.00%,-,-,111,78.17%,2,100.00%
26,Gulliksen Kevin,FAG,RW,30,17,80.95%,10,66.67%,-,-,52,62.65%,2,40.00%,38,84.44%
27,Kunkel Yves,MTM,LW,31,15,75.00%,5,45.45%,2,33.33%,30,65.22%,1,50.00%,16,88.89%
28,Wiesmach Patrick,LEI,RW,33,15,62.50%,6,85.71%,-,-,35,63.64%,7,63.64%,36,81.82%
29,Darmoul Mohamed Amine,GWD,CB,33,15,62.50%,105,74.47%,20,54.05%,-,-,-,-,9,90.00%
30,Sagosen Sander,THW,CB,29,13,86.67%,60,78.95%,47,50.00%,-,-,-,-,1,50.00%
31,Gunnarsson Arnor Thor,BHC,RW,33,12,54.55%,7,87.50%,2,66.67%,43,69.35%,4,80.00%,18,90.00%
32,Landin Magnus,THW,LW,34,12,63.16%,9,81.82%,-,-,47,73.44%,1,20.00%,7,87.50%
33,Speckmann Jan-Eric,NLB,LW,16,12,92.31%,-,-,-,-,10,47.62%,1,100.00%,2,100.00%
34,Knorr Juri,RNL,CB,34,12,75.00%,39,60.94%,29,42.03%,-,-,1,100.00%,5,100.00%
35,Mavers Veit,HAN,CB,32,12,66.67%,68,68.69%,12,33.33%,-,-,1,50.00%,2,100.00%
36,Thomann Gregor,HBW,RW,26,10,58.82%,2,100.00%,-,-,11,50.00%,1,100.00%,-,-
37,Smits Kay,SCM,RB,34,9,60.00%,26,81.25%,18,64.29%,-,-,1,100.00%,3,100.00%
38,Hornke Tim,SCM,RW,30,8,72.73%,4,80.00%,-,-,39,62.90%,-,-,23,88.46%
39,Zerbe Lukas,TBV,RW,34,8,72.73%,6,60.00%,-,-,46,71.88%,11,73.33%,21,84.00%
40,Helander Benjamin,RNL,LW,23,8,66.67%,4,100.00%,-,-,30,57.69%,2,100.00%,22,88.00%
41,Gretarsson Oddur,HBW,LW,4,7,87.50%,-,-,-,-,2,100.00%,-,-,1,100.00%
42,Goller Axel,FAG,RW,33,7,77.78%,1,100.00%,-,-,8,47.06%,1,100.00%,2,100.00%
43,Vujovic Milos,BER,LW,34,5,100.00%,5,55.56%,-,-,34,73.91%,3,60.00%,24,70.59%
44,Olsson Hampus,HCE,RW,32,4,57.14%,1,50.00%,1,100.00%,20,68.97%,5,62.50%,12,100.00%
45,Martinovic Ivan,HAN,RB,30,4,30.77%,83,74.11%,48,52.75%,-,-,2,100.00%,4,50.00%
46,Gottfridsson Jim,SGF,CB,32,3,75.00%,59,77.63%,50,64.94%,-,-,1,100.00%,2,100.00%
47,Lonn Adam,TVB,LB,31,3,60.00%,54,71.05%,70,50.72%,-,-,1,100.00%,3,75.00%
48,Zarabec Miha,THW,CB,34,3,75.00%,22,70.97%,29,67.44%,-,-,-,-,1,100.00%
49,Groetzki Patrick,RNL,RW,32,2,66.67%,7,87.50%,1,100.00%,73,69.52%,3,100.00%,19,82.61%
50,Boomhouwer Jeffrey,BHC,LW,34,2,100.00%,1,25.00%,2,50.00%,45,69.23%,2,66.67%,23,76.67%
51,Lagergren Albin,RNL,RB,29,2,66.67%,35,67.31%,9,56.25%,-,-,1,100.00%,4,100.00%
52,Simak Frederik,TBV,LB,32,2,66.67%,12,50.00%,2,25.00%,-,-,28,65.12%,8,100.00%
53,Kranzmann Florian,GWD,LW,34,2,100.00%,-,-,1,100.00%,7,38.89%,-,-,7,77.78%
54,Fuchs Julian,MTM,RW,17,2,50.00%,-,-,-,-,3,42.86%,-,-,1,50.00%
55,Sellin Johannes,HCE,RW,31,1,20.00%,2,66.67%,1,50.00%,36,63.16%,6,85.71%,37,86.05%
56,Schagen Bobby,TBV,RW,31,1,50.00%,22,73.33%,6,50.00%,27,71.05%,1,100.00%,3,100.00%
57,Weber Philipp,SCM,CB,34,1,50.00%,44,80.00%,28,45.16%,-,-,-,-,2,100.00%
58,Kuhn Julius,MTM,LB,34,1,25.00%,52,64.20%,90,52.94%,-,-,3,100.00%,9,81.82%
59,Budel Nico,HCE,CB,33,1,50.00%,48,77.42%,18,46.15%,-,-,1,25.00%,7,87.50%
60,Steinhauser Marius,SGF,RW,31,1,100.00%,1,50.00%,1,100.00%,30,75.00%,1,50.00%,10,66.67%
61,Feld Alexander,WET,CB,12,1,100.00%,3,33.33%,6,37.50%,-,-,2,66.67%,-,-
62,Reinkind Harald,THW,RB,34,1,100.00%,48,71.64%,62,54.39%,-,-,1,100.00%,4,80.00%
63,Zechel Tim,HCE,P,34,1,100.00%,3,75.00%,-,-,-,-,63,82.89%,2,100.00%
64,Weissgerber Lars,WET,RW,33,1,50.00%,3,60.00%,-,-,37,66.07%,3,100.00%,14,77.78%
65,Strosack Peter,NLB,RW,34,1,100.00%,9,64.29%,1,100.00%,44,65.67%,8,61.54%,22,81.48%
66,Petreikis Benas,NLB,CB,34,1,100.00%,63,64.29%,14,35.90%,-,-,3,100.00%,-,-
67,Moller Lasse,SGF,LB,1,1,50.00%,-,-,-,-,-,-,-,-,-,-
68,Novak Domen,WET,RW,34,1,50.00%,3,75.00%,-,-,46,64.79%,1,33.33%,14,77.78%
69,Zacharias Lion,RNL,LW,21,1,50.00%,-,-,-,-,18,64.29%,-,-,5,100.00%
70,Drosten Florian,MTM,LW,8,1,100.00%,-,-,-,-,2,100.00%,-,-,-,-
71,Heinevetter Silvio,MTM,GK,34,-,-,-,-,-,-,-,-,-,-,-,-
72,Bult Mark,SGF,RB,3,-,-,-,-,-,-,-,-,-,-,-,-
73,Vortmann Jens,HSV,GK,30,-,-,-,-,-,-,-,-,-,-,-,-
74,Spath Manuel,HSV,P,33,-,-,3,75.00%,-,-,-,-,17,54.84%,1,50.00%
75,Gutbrod Fabian,BHC,LB,17,-,-,4,50.00%,33,58.93%,-,-,-,-,-,-
77,Horak Pavel,THW,LB,34,-,-,-,-,1,100.00%,-,-,9,81.82%,-,-
78,Kneule Tim,FAG,CB,31,-,-,41,65.08%,26,49.06%,-,-,1,100.00%,-,-
79,Hafner Kai,MTM,RB,32,-,-,81,68.64%,50,50.00%,2,28.57%,3,75.00%,2,50.00%
